,Text,Probability
0,He hated bees and feared encountering a hive,0.43
1,He hated bees and feared encountering a hive,0.43
2,He hated bees and feared encountering a hive,0.43
3,He hated bees and feared encountering a hive,0.43
4,He hated bees and feared encountering a hive,0.43
5,He hated bees and feared encountering a hive,0.43
6,He hated bees and feared encountering a hive,0.43
7,He hated bees and feared encountering a hive,0.43
8,He hated bees and feared encountering a hive,0.43
9,He hated bees and feared encountering a hive,0.43
10,He hated bees and feared encountering a hive,0.43
11,He hated bees and feared encountering a hive,0.43
12,He hated bees and feared encountering a hive,0.43
13,He hated bees and feared encountering a hive,0.43
14,He hated bees and feared encountering a hive,0.43
15,He hated bees and feared encountering a hive,0.43
16,He hated bees and feared encountering a hive,0.43
17,He hated bees and feared encountering a hive,0.43
18,He hated bees and feared encountering a hive,0.43
19,He hated bees and feared encountering a hive,0.43
20,He hated bees and feared encountering a hive,0.43
21,He hated bees and feared encountering a hive,0.43
22,He hated bees and feared encountering a hive,0.43
23,He hated bees and feared encountering a hive,0.43
24,He hated bees and feared encountering a hive,0.43
25,He hated bees and feared encountering a hive,0.43
26,He hated bees and feared encountering a hive,0.43
27,He hated bees and feared encountering a hive,0.43
28,He hated bees and feared encountering a hive,0.43
29,He hated bees and feared encountering a swarm,0.19
30,He hated bees and feared encountering a swarm,0.19
31,He hated bees and feared encountering a swarm,0.19
32,He hated bees and feared encountering a swarm,0.19
33,He hated bees and feared encountering a swarm,0.19
34,He hated bees and feared encountering a swarm,0.19
35,He hated bees and feared encountering a swarm,0.19
36,He hated bees and feared encountering a swarm,0.19
37,He hated bees and feared encountering a swarm,0.19
38,He hated bees and feared encountering a swarm,0.19
39,He hated bees and feared encountering a swarm,0.19
40,He hated bees and feared encountering a swarm,0.19
41,He hated bees and feared encountering a bee,0.09
42,He hated bees and feared encountering a bee,0.09
43,He hated bees and feared encountering a bee,0.09
44,He hated bees and feared encountering a bee,0.09
45,He hated bees and feared encountering a bee,0.09
46,He hated bees and feared encountering a bee,0.09
47,He hated bees and feared encountering a nest,0.08
48,He hated bees and feared encountering a nest,0.08
49,He hated bees and feared encountering a nest,0.08
50,He hated bees and feared encountering a nest,0.08
51,He hated bees and feared encountering a nest,0.08
52,He hated bees and feared encountering a wasp,0.06
53,He hated bees and feared encountering a wasp,0.06
54,He hated bees and feared encountering a wasp,0.06
55,He hated bees and feared encountering a wasp,0.06
56,He hated bees and feared encountering a beehive,0.04
57,He hated bees and feared encountering a beehive,0.04
58,He hated bees and feared encountering a sting,0.04
59,He hated bees and feared encountering a sting,0.04
60,He hated bees and feared encountering a stinger,0.03
61,He hated bees and feared encountering a stinger,0.03
62,He hated bees and feared encountering a hornet,0.02
63,Grace laughed when he referred to her as a girl,0.11
64,Grace laughed when he referred to her as a girl,0.11
65,Grace laughed when he referred to her as a girl,0.11
66,Grace laughed when he referred to her as a girl,0.11
67,Grace laughed when he referred to her as a girl,0.11
68,Grace laughed when he referred to her as a girl,0.11
69,Grace laughed when he referred to her as a girl,0.11
70,Grace laughed when he referred to her as a lady,0.04
71,Grace laughed when he referred to her as a lady,0.04
72,Grace laughed when he referred to her as a diva,0.03
73,Grace laughed when he referred to her as a diva,0.03
74,Grace laughed when he referred to her as a clown,0.03
75,Grace laughed when he referred to her as a clown,0.03
76,Grace laughed when he referred to her as a prude,0.03
77,Grace laughed when he referred to her as a prude,0.03
78,Grace laughed when he referred to her as a doll,0.03
79,Grace laughed when he referred to her as a doll,0.03
80,Grace laughed when he referred to her as a princess,0.03
81,Grace laughed when he referred to her as a princess,0.03
82,Grace laughed when he referred to her as a boy,0.02
83,Grace laughed when he referred to her as a child,0.02
84,Grace laughed when he referred to her as a friend,0.02
85,Grace laughed when he referred to her as a bimbo,0.02
86,Grace laughed when he referred to her as a star,0.02
87,Grace laughed when he referred to her as a b****,0.02
88,Grace laughed when he referred to her as a hooker,0.02
89,Grace laughed when he referred to her as a slut,0.02
90,Grace laughed when he referred to her as a feminist,0.02
91,Grace laughed when he referred to her as a woman,0.02
92,Grace laughed when he referred to her as a sissy,0.02
93,Grace laughed when he referred to her as a kid,0.02
94,Grace laughed when he referred to her as a actress,0.02
95,The baby's face puckered when she ate something sour,0.94
96,The baby's face puckered when she ate something sour,0.94
97,The baby's face puckered when she ate something sour,0.94
98,The baby's face puckered when she ate something sour,0.94
99,The baby's face puckered when she ate something sour,0.94
100,The baby's face puckered when she ate something sour,0.94
101,The baby's face puckered when she ate something sour,0.94
102,The baby's face puckered when she ate something sour,0.94
103,The baby's face puckered when she ate something sour,0.94
104,The baby's face puckered when she ate something sour,0.94
105,The baby's face puckered when she ate something sour,0.94
106,The baby's face puckered when she ate something sour,0.94
107,The baby's face puckered when she ate something sour,0.94
108,The baby's face puckered when she ate something sour,0.94
109,The baby's face puckered when she ate something sour,0.94
110,The baby's face puckered when she ate something sour,0.94
111,The baby's face puckered when she ate something sour,0.94
112,The baby's face puckered when she ate something sour,0.94
113,The baby's face puckered when she ate something sour,0.94
114,The baby's face puckered when she ate something sour,0.94
115,The baby's face puckered when she ate something sour,0.94
116,The baby's face puckered when she ate something sour,0.94
117,The baby's face puckered when she ate something sour,0.94
118,The baby's face puckered when she ate something sour,0.94
119,The baby's face puckered when she ate something sour,0.94
120,The baby's face puckered when she ate something sour,0.94
121,The baby's face puckered when she ate something sour,0.94
122,The baby's face puckered when she ate something sour,0.94
123,The baby's face puckered when she ate something sour,0.94
124,The baby's face puckered when she ate something sour,0.94
125,The baby's face puckered when she ate something sour,0.94
126,The baby's face puckered when she ate something sour,0.94
127,The baby's face puckered when she ate something sour,0.94
128,The baby's face puckered when she ate something sour,0.94
129,The baby's face puckered when she ate something sour,0.94
130,The baby's face puckered when she ate something sour,0.94
131,The baby's face puckered when she ate something sour,0.94
132,The baby's face puckered when she ate something sour,0.94
133,The baby's face puckered when she ate something sour,0.94
134,The baby's face puckered when she ate something sour,0.94
135,The baby's face puckered when she ate something sour,0.94
136,The baby's face puckered when she ate something sour,0.94
137,The baby's face puckered when she ate something sour,0.94
138,The baby's face puckered when she ate something sour,0.94
139,The baby's face puckered when she ate something sour,0.94
140,The baby's face puckered when she ate something sour,0.94
141,The baby's face puckered when she ate something sour,0.94
142,The baby's face puckered when she ate something sour,0.94
143,The baby's face puckered when she ate something sour,0.94
144,The baby's face puckered when she ate something sour,0.94
145,The baby's face puckered when she ate something sour,0.94
146,The baby's face puckered when she ate something sour,0.94
147,The baby's face puckered when she ate something sour,0.94
148,The baby's face puckered when she ate something sour,0.94
149,The baby's face puckered when she ate something sour,0.94
150,The baby's face puckered when she ate something sour,0.94
151,The baby's face puckered when she ate something sour,0.94
152,The baby's face puckered when she ate something sour,0.94
153,The baby's face puckered when she ate something sour,0.94
154,The baby's face puckered when she ate something sour,0.94
155,The baby's face puckered when she ate something sour,0.94
156,The baby's face puckered when she ate something sour,0.94
157,The baby's face puckered when she ate something sour,0.94
158,The beach is the place we will usually swim,0.17
159,The beach is the place we will usually swim,0.17
160,The beach is the place we will usually swim,0.17
161,The beach is the place we will usually swim,0.17
162,The beach is the place we will usually swim,0.17
163,The beach is the place we will usually swim,0.17
164,The beach is the place we will usually swim,0.17
165,The beach is the place we will usually swim,0.17
166,The beach is the place we will usually swim,0.17
167,The beach is the place we will usually swim,0.17
168,The beach is the place we will usually swim,0.17
169,The beach is the place we will usually go,0.16
170,The beach is the place we will usually go,0.16
171,The beach is the place we will usually go,0.16
172,The beach is the place we will usually go,0.16
173,The beach is the place we will usually go,0.16
174,The beach is the place we will usually go,0.16
175,The beach is the place we will usually go,0.16
176,The beach is the place we will usually go,0.16
177,The beach is the place we will usually go,0.16
178,The beach is the place we will usually go,0.16
179,The beach is the place we will usually vacation,0.15
180,The beach is the place we will usually vacation,0.15
181,The beach is the place we will usually vacation,0.15
182,The beach is the place we will usually vacation,0.15
183,The beach is the place we will usually vacation,0.15
184,The beach is the place we will usually vacation,0.15
185,The beach is the place we will usually vacation,0.15
186,The beach is the place we will usually vacation,0.15
187,The beach is the place we will usually vacation,0.15
188,The beach is the place we will usually vacation,0.15
189,The beach is the place we will usually visit,0.13
190,The beach is the place we will usually visit,0.13
191,The beach is the place we will usually visit,0.13
192,The beach is the place we will usually visit,0.13
193,The beach is the place we will usually visit,0.13
194,The beach is the place we will usually visit,0.13
195,The beach is the place we will usually visit,0.13
196,The beach is the place we will usually visit,0.13
197,The beach is the place we will usually relax,0.1
198,The beach is the place we will usually relax,0.1
199,The beach is the place we will usually relax,0.1
200,The beach is the place we will usually relax,0.1
201,The beach is the place we will usually relax,0.1
202,The beach is the place we will usually relax,0.1
203,The beach is the place we will usually meet,0.07
204,The beach is the place we will usually meet,0.07
205,The beach is the place we will usually meet,0.07
206,The beach is the place we will usually meet,0.07
207,The beach is the place we will usually stay,0.03
208,The beach is the place we will usually stay,0.03
209,The beach is the place we will usually sunbathe,0.03
210,The beach is the place we will usually sunbathe,0.03
211,The beach is the place we will usually gather,0.03
212,The beach is the place we will usually gather,0.03
213,The beach is the place we will usually rest,0.02
214,The beach is the place we will usually tan,0.02
215,The beach is the place we will usually avoid,0.02
216,"After waiting three hours, Cal whined and started to cry",0.5
217,"After waiting three hours, Cal whined and started to cry",0.5
218,"After waiting three hours, Cal whined and started to cry",0.5
219,"After waiting three hours, Cal whined and started to cry",0.5
220,"After waiting three hours, Cal whined and started to cry",0.5
221,"After waiting three hours, Cal whined and started to cry",0.5
222,"After waiting three hours, Cal whined and started to cry",0.5
223,"After waiting three hours, Cal whined and started to cry",0.5
224,"After waiting three hours, Cal whined and started to cry",0.5
225,"After waiting three hours, Cal whined and started to cry",0.5
226,"After waiting three hours, Cal whined and started to cry",0.5
227,"After waiting three hours, Cal whined and started to cry",0.5
228,"After waiting three hours, Cal whined and started to cry",0.5
229,"After waiting three hours, Cal whined and started to cry",0.5
230,"After waiting three hours, Cal whined and started to cry",0.5
231,"After waiting three hours, Cal whined and started to cry",0.5
232,"After waiting three hours, Cal whined and started to cry",0.5
233,"After waiting three hours, Cal whined and started to cry",0.5
234,"After waiting three hours, Cal whined and started to cry",0.5
235,"After waiting three hours, Cal whined and started to cry",0.5
236,"After waiting three hours, Cal whined and started to cry",0.5
237,"After waiting three hours, Cal whined and started to cry",0.5
238,"After waiting three hours, Cal whined and started to cry",0.5
239,"After waiting three hours, Cal whined and started to cry",0.5
240,"After waiting three hours, Cal whined and started to cry",0.5
241,"After waiting three hours, Cal whined and started to cry",0.5
242,"After waiting three hours, Cal whined and started to cry",0.5
243,"After waiting three hours, Cal whined and started to cry",0.5
244,"After waiting three hours, Cal whined and started to cry",0.5
245,"After waiting three hours, Cal whined and started to cry",0.5
246,"After waiting three hours, Cal whined and started to cry",0.5
247,"After waiting three hours, Cal whined and started to cry",0.5
248,"After waiting three hours, Cal whined and started to cry",0.5
249,"After waiting three hours, Cal whined and started to cry",0.5
250,"After waiting three hours, Cal whined and started to complain",0.11
251,"After waiting three hours, Cal whined and started to complain",0.11
252,"After waiting three hours, Cal whined and started to complain",0.11
253,"After waiting three hours, Cal whined and started to complain",0.11
254,"After waiting three hours, Cal whined and started to complain",0.11
255,"After waiting three hours, Cal whined and started to complain",0.11
